City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
307,Bethel,US,41.3712,-73.414,51.01,76,75,11.95,broken clouds
308,Atambua,ID,-9.1061,124.8925,82.08,45,24,2.51,few clouds
309,Montecristo,CO,8.2971,-74.4733,75.16,97,100,1.63,overcast clouds
310,Kungalv,SE,57.871,11.9805,35.01,73,61,4.38,broken clouds
311,Bilibino,RU,68.0546,166.4372,24.78,79,100,3.06,overcast clouds
312,Washougal,US,45.5826,-122.3534,55.4,62,75,6.91,broken clouds
313,Povenets,RU,62.8487,34.8262,35.35,88,100,15.28,overcast clouds
314,Coquimbo,CL,-29.9533,-71.3436,53.6,94,0,3.44,clear sky
315,Naze,JP,28.3667,129.4833,77.0,57,75,14.97,broken clouds
316,Kyra,RU,49.5776,111.9753,48.15,41,58,14.97,broken clouds
317,San Javier,ES,37.8063,-0.8374,64.0,77,0,5.75,clear sky
318,Ottawa,CA,45.4112,-75.6981,36.0,64,90,21.85,overcast clouds
319,Morehead,US,37.2711,-87.1764,51.8,82,1,5.75,clear sky
320,Santa Cruz,BO,-17.8,-63.1667,66.2,94,37,9.22,scattered clouds
321,Zhongshu,CN,24.5167,103.7667,67.08,74,73,7.36,broken clouds
322,Lompoc,US,34.6391,-120.4579,53.6,82,100,8.05,overcast clouds
323,Carnarvon,AU,-24.8667,113.6333,86.0,23,1,8.05,clear sky
324,Wewak,PG,-3.5534,143.6268,85.5,65,60,5.44,broken clouds
325,Balaipungut,ID,1.05,101.2833,73.4,100,40,6.91,moderate rain
326,Doha,QA,25.2867,51.5333,81.0,73,33,4.61,scattered clouds
327,Yarada,IN,17.65,83.2667,84.2,84,40,6.91,mist
328,Brownsville,US,25.9018,-97.4975,73.4,78,1,8.05,clear sky
329,Ca Mau,VN,9.1769,105.15,92.05,50,66,6.13,broken clouds
330,Cap Malheureux,MU,-19.9842,57.6142,75.0,90,100,4.0,light rain
331,Lata,PT,40.1629,-8.3327,57.2,88,20,5.75,few clouds
332,Aklavik,CA,68.2191,-135.0107,15.8,73,100,9.22,overcast clouds
333,Baglung,NP,28.2719,83.5898,82.98,12,0,2.28,clear sky
334,Ixtapa,MX,20.7,-105.2,77.0,83,40,10.36,scattered clouds
335,Qingquan,CN,30.4511,115.2559,60.78,87,100,3.18,overcast clouds
336,Itupiranga,BR,-5.1347,-49.3267,73.65,96,64,2.28,broken clouds
337,Keflavik,IS,64.0049,-22.5624,39.2,93,0,10.36,clear sky
338,Lima,PE,-12.0432,-77.0282,63.0,88,40,4.61,scattered clouds
339,Basco,PH,20.4487,121.9702,76.15,65,72,18.63,broken clouds
340,Samana,DO,19.2056,-69.3369,75.11,83,9,6.85,clear sky
341,Simao,CN,22.7886,100.9748,78.76,54,95,3.27,overcast clouds
342,Lhokseumawe,ID,5.1801,97.1507,83.64,69,99,1.01,overcast clouds
343,Longyearbyen,SJ,78.2186,15.6401,14.0,67,20,3.44,few clouds
344,Caravelas,BR,-17.7125,-39.2481,75.29,85,2,6.6,clear sky
345,Nemours,FR,48.2751,2.6908,46.0,70,0,8.05,clear sky
